# _procNoiseCov=10 _measNoiseCov=10 iter_max=10 alpha=0.3
#Simulation_time,tracking_step,NodeID,TargetID,MeasurementX,MeasurementY,EstimateX,EstimateY,GroundTruthX,GroundTruthY,Error,ErrorAcc,ResultsDelay
#t_sim	t_step	NID	TID	Zx	Zy	X_x	X_y	Xx	Xy	GTx	GTy	Err	ErrAcc	Delay
0.025	1	2	0	0	0	118.9	98.55	118.9	98.55	120	100	1.809	1.809	0
0.025	1	4	0	0	0	119.1	98.79	119.1	98.79	120	100	1.499	1.499	0
0.025	1	0	0	109.2	85.4	118.7	98.23	118.7	98.23	120	100	2.196	2.196	0
0.025	1	6	0	0	0	118.9	98.47	118.9	98.47	120	100	1.9	1.9	0
0.025	1	3	0	0	0	119.1	98.72	119.1	98.72	120	100	1.593	1.593	0
0.025	1	1	0	0	0	118.8	98.35	118.8	98.35	120	100	2.051	2.051	0
0.025	1	5	0	0	0	119	98.67	119	98.67	120	100	1.654	1.654	0
0.025	1	7	0	0	0	118.7	98.3	118.7	98.3	120	100	2.109	2.109	0
0.275	2	2	0	0	0	119	97.4	119	97.4	123.1	103.4	7.231	9.041	0
0.275	2	4	0	0	0	119	97.61	119	97.61	123.1	103.4	7.055	8.554	0
0.275	2	0	0	120	87.25	119	97.13	119	97.13	123.1	103.4	7.454	9.651	0
0.275	2	6	0	0	0	119	97.33	119	97.33	123.1	103.4	7.283	9.183	0
0.275	2	3	0	0	0	119	97.55	119	97.55	123.1	103.4	7.108	8.701	0
0.275	2	1	0	0	0	119	97.23	119	97.23	123.1	103.4	7.371	9.422	0
0.275	2	5	0	0	0	119	97.51	119	97.51	123.1	103.4	7.142	8.796	0
0.275	2	7	0	0	0	119	97.19	119	97.19	123.1	103.4	7.404	9.513	0
0.525	3	2	0	0	0	120.2	96.38	120.2	96.38	125	105.3	10.16	19.2	0
0.525	3	4	0	0	0	120	96.57	120	96.57	125	105.3	10.09	18.65	0
0.525	3	0	0	131.2	87.43	120.5	96.15	120.5	96.15	125	105.3	10.25	19.9	0
0.525	3	6	0	0	0	120.3	96.33	120.3	96.33	125	105.3	10.18	19.36	0
0.525	3	3	0	0	0	120.1	96.52	120.1	96.52	125	105.3	10.11	18.81	0
0.525	3	1	0	0	0	120.4	96.24	120.4	96.24	125	105.3	10.21	19.64	0
0.525	3	5	0	0	0	120.1	96.48	120.1	96.48	125	105.3	10.12	18.92	0
0.525	3	7	0	0	0	120.4	96.2	120.4	96.2	125	105.3	10.23	19.74	0
0.775	4	2	0	0	0	121.2	96.6	121.2	96.6	129	107.4	13.32	32.52	0
0.775	4	4	0	0	0	121	96.58	121	96.58	129	107.4	13.44	32.09	0
0.775	4	0	0	129.5	98.73	121.4	96.63	121.4	96.63	129	107.4	13.17	33.07	0
0.775	4	6	0	0	0	121.2	96.61	121.2	96.61	129	107.4	13.28	32.65	0
0.775	4	3	0	0	0	121	96.59	121	96.59	129	107.4	13.41	32.22	0
0.775	4	1	0	0	0	121.3	96.62	121.3	96.62	129	107.4	13.23	32.86	0
0.775	4	5	0	0	0	121.1	96.59	121.1	96.59	129	107.4	13.38	32.3	0
0.775	4	7	0	0	0	121.3	96.62	121.3	96.62	129	107.4	13.2	32.94	0
1.025	5	2	0	0	0	122.8	97.94	122.8	97.94	128	108.7	11.94	44.46	0
1.025	5	4	0	0	0	122.5	97.71	122.5	97.71	128	108.7	12.28	44.37	0
1.025	5	0	0	137	110	123.1	98.23	123.1	98.23	128	108.7	11.53	44.6	0
1.025	5	6	0	0	0	122.8	98.01	122.8	98.01	128	108.7	11.85	44.49	0
1.025	5	3	0	0	0	122.6	97.78	122.6	97.78	128	108.7	12.18	44.39	0
1.025	5	1	0	0	0	123	98.12	123	98.12	128	108.7	11.68	44.54	0
1.025	5	5	0	0	0	122.6	97.83	122.6	97.83	128	108.7	12.11	44.41	0
1.025	5	7	0	0	0	123	98.17	123	98.17	128	108.7	11.62	44.56	0
1.275	6	2	0	0	0	124.9	100.9	124.9	100.9	132.7	106.6	9.618	54.08	0
1.275	6	4	0	0	0	124.5	100.4	124.5	100.4	132.7	106.6	10.25	54.62	0
1.275	6	0	0	144.3	127.7	125.4	101.6	125.4	101.6	132.7	106.6	8.835	53.43	0
1.275	6	6	0	0	0	125	101.1	125	101.1	132.7	106.6	9.435	53.93	0
1.275	6	3	0	0	0	124.7	100.6	124.7	100.6	132.7	106.6	10.06	54.45	0
1.275	6	1	0	0	0	125.2	101.3	125.2	101.3	132.7	106.6	9.127	53.67	0
1.275	6	5	0	0	0	124.7	100.7	124.7	100.7	132.7	106.6	9.935	54.35	0
1.275	6	7	0	0	0	125.3	101.4	125.3	101.4	132.7	106.6	9.011	53.58	0
1.525	7	2	0	0	0	126	100.6	126	100.6	136.8	107	12.49	66.57	0
1.525	7	4	0	0	0	125.8	100.6	125.8	100.6	136.8	107	12.68	67.3	0
1.525	7	0	0	135.7	97.53	126.3	100.6	126.3	100.6	136.8	107	12.26	65.7	0
1.525	7	6	0	0	0	126.1	100.6	126.1	100.6	136.8	107	12.44	66.37	0
1.525	7	3	0	0	0	125.9	100.6	125.9	100.6	136.8	107	12.62	67.08	0
1.525	7	1	0	0	0	126.2	100.6	126.2	100.6	136.8	107	12.35	66.02	0
1.525	7	5	0	0	0	125.9	100.6	125.9	100.6	136.8	107	12.59	66.93	0
1.525	7	7	0	0	0	126.2	100.6	126.2	100.6	136.8	107	12.32	65.89	0
1.775	8	2	0	0	0	128.3	102.6	128.3	102.6	137.4	113.9	14.49	81.07	0
1.775	8	4	0	0	0	127.9	102.3	127.9	102.3	137.4	113.9	15.01	82.31	0
1.775	8	0	0	148.6	120.4	128.8	103	128.8	103	137.4	113.9	13.85	79.54	0
1.775	8	6	0	0	0	128.4	102.7	128.4	102.7	137.4	113.9	14.34	80.71	0
1.775	8	3	0	0	0	128	102.4	128	102.4	137.4	113.9	14.86	81.93	0
1.775	8	1	0	0	0	128.6	102.9	128.6	102.9	137.4	113.9	14.09	80.11	0
1.775	8	5	0	0	0	128.1	102.4	128.1	102.4	137.4	113.9	14.75	81.69	0
1.775	8	7	0	0	0	128.7	102.9	128.7	102.9	137.4	113.9	13.99	79.89	0
2.025	9	2	0	0	0	128.8	104.3	128.8	104.3	144.2	112.2	17.3	98.37	0
2.025	9	4	0	0	0	128.7	104	128.7	104	144.2	112.2	17.55	99.86	0
2.025	9	0	0	132.6	119.7	128.9	104.7	128.9	104.7	144.2	112.2	17	96.54	0
2.025	9	6	0	0	0	128.8	104.4	128.8	104.4	144.2	112.2	17.23	97.94	0
2.025	9	3	0	0	0	128.7	104.1	128.7	104.1	144.2	112.2	17.47	99.41	0
2.025	9	1	0	0	0	128.9	104.6	128.9	104.6	144.2	112.2	17.11	97.22	0
2.025	9	5	0	0	0	128.7	104.2	128.7	104.2	144.2	112.2	17.43	99.11	0
2.025	9	7	0	0	0	128.9	104.6	128.9	104.6	144.2	112.2	17.06	96.95	0
2.275	10	2	0	0	0	130.4	105.3	130.4	105.3	142.1	112.1	13.5	111.9	0
2.275	10	4	0	0	0	130.1	105.1	130.1	105.1	142.1	112.1	13.85	113.7	0
2.275	10	0	0	145.4	113.5	130.8	105.5	130.8	105.5	142.1	112.1	13.06	109.6	0
2.275	10	6	0	0	0	130.5	105.3	130.5	105.3	142.1	112.1	13.4	111.3	0
2.275	10	3	0	0	0	130.2	105.1	130.2	105.1	142.1	112.1	13.74	113.1	0
2.275	10	1	0	0	0	130.7	105.4	130.7	105.4	142.1	112.1	13.23	110.4	0
2.275	10	5	0	0	0	130.3	105.2	130.3	105.2	142.1	112.1	13.67	112.8	0
2.275	10	7	0	0	0	130.7	105.5	130.7	105.5	142.1	112.1	13.16	110.1	0
2.525	11	2	0	0	0	130.8	106.1	130.8	106.1	143.2	114.7	15.1	127	0
2.525	11	4	0	0	0	130.7	105.9	130.7	105.9	143.2	114.7	15.26	129	0
2.525	11	0	0	134.1	113.2	130.9	106.3	130.9	106.3	143.2	114.7	14.9	124.5	0
2.525	11	6	0	0	0	130.9	106.1	130.9	106.1	143.2	114.7	15.05	126.4	0
2.525	11	3	0	0	0	130.8	106	130.8	106	143.2	114.7	15.21	128.4	0
2.525	11	1	0	0	0	130.9	106.2	130.9	106.2	143.2	114.7	14.98	125.4	0
2.525	11	5	0	0	0	130.8	106	130.8	106	143.2	114.7	15.18	128	0
2.525	11	7	0	0	0	130.9	106.2	130.9	106.2	143.2	114.7	14.95	125.1	0
2.775	12	2	0	0	0	132	107.3	132	107.3	140.8	111.8	9.866	136.8	0
2.775	12	4	0	0	0	131.8	107.1	131.8	107.1	140.8	111.8	10.16	139.1	0
2.775	12	0	0	143	118.1	132.3	107.6	132.3	107.6	140.8	111.8	9.503	134	0
2.775	12	6	0	0	0	132.1	107.4	132.1	107.4	140.8	111.8	9.781	136.2	0
2.775	12	3	0	0	0	131.9	107.1	131.9	107.1	140.8	111.8	10.07	138.4	0
2.775	12	1	0	0	0	132.2	107.5	132.2	107.5	140.8	111.8	9.638	135.1	0
2.775	12	5	0	0	0	131.9	107.2	131.9	107.2	140.8	111.8	10.01	138	0
2.775	12	7	0	0	0	132.3	107.5	132.3	107.5	140.8	111.8	9.585	134.6	0
3.025	13	2	0	0	0	133.6	107.9	133.6	107.9	140.8	117.1	11.69	148.5	0
3.025	13	4	0	0	0	133.3	107.8	133.3	107.8	140.8	117.1	11.96	151.1	0
3.025	13	0	0	147.6	112.9	134	108	134	108	140.8	117.1	11.36	145.4	0
3.025	13	6	0	0	0	133.7	107.9	133.7	107.9	140.8	117.1	11.61	147.8	0
3.025	13	3	0	0	0	133.4	107.8	133.4	107.8	140.8	117.1	11.88	150.3	0
3.025	13	1	0	0	0	133.8	108	133.8	108	140.8	117.1	11.48	146.5	0
3.025	13	5	0	0	0	133.5	107.8	133.5	107.8	140.8	117.1	11.83	149.8	0
3.025	13	7	0	0	0	133.9	108	133.9	108	140.8	117.1	11.43	146.1	0
3.275	14	2	0	0	0	134.4	111.4	134.4	111.4	147.8	121.4	16.77	165.3	0
3.275	14	4	0	0	0	134.2	110.8	134.2	110.8	147.8	121.4	17.26	168.3	0
3.275	14	0	0	141	142.9	134.6	112.1	134.6	112.1	147.8	121.4	16.17	161.5	0
3.275	14	6	0	0	0	134.4	111.6	134.4	111.6	147.8	121.4	16.62	164.4	0
3.275	14	3	0	0	0	134.3	111	134.3	111	147.8	121.4	17.11	167.4	0
3.275	14	1	0	0	0	134.5	111.9	134.5	111.9	147.8	121.4	16.39	162.9	0
3.275	14	5	0	0	0	134.3	111.1	134.3	111.1	147.8	121.4	17.01	166.8	0
3.275	14	7	0	0	0	134.5	112	134.5	112	147.8	121.4	16.3	162.4	0
3.525	15	2	0	0	0	135.5	112.8	135.5	112.8	154	119	19.51	184.8	0
3.525	15	4	0	0	0	135.3	112.5	135.3	112.5	154	119	19.81	188.1	0
3.525	15	0	0	145.7	125.1	135.8	113.2	135.8	113.2	154	119	19.15	180.7	0
3.525	15	6	0	0	0	135.6	112.9	135.6	112.9	154	119	19.43	183.8	0
3.525	15	3	0	0	0	135.4	112.6	135.4	112.6	154	119	19.72	187.1	0
3.525	15	1	0	0	0	135.7	113	135.7	113	154	119	19.29	182.2	0
3.525	15	5	0	0	0	135.4	112.7	135.4	112.7	154	119	19.66	186.5	0
3.525	15	7	0	0	0	135.7	113.1	135.7	113.1	154	119	19.23	181.6	0
3.775	16	2	0	0	0	136.3	115.3	136.3	115.3	155.5	117.6	19.35	204.2	0
3.775	16	4	0	0	0	136.2	114.8	136.2	114.8	155.5	117.6	19.56	207.7	0
3.775	16	0	0	143.5	137.2	136.5	115.8	136.5	115.8	155.5	117.6	19.09	199.8	0
3.775	16	6	0	0	0	136.4	115.4	136.4	115.4	155.5	117.6	19.29	203.1	0
3.775	16	3	0	0	0	136.2	114.9	136.2	114.9	155.5	117.6	19.5	206.6	0
3.775	16	1	0	0	0	136.5	115.6	136.5	115.6	155.5	117.6	19.19	201.4	0
3.775	16	5	0	0	0	136.3	115	136.3	115	155.5	117.6	19.45	205.9	0
3.775	16	7	0	0	0	136.5	115.7	136.5	115.7	155.5	117.6	19.15	200.8	0
4.025	17	2	0	0	0	139.9	115.4	139.9	115.4	161.7	118.3	22.07	226.2	0
4.025	17	4	0	0	0	139.2	115.3	139.2	115.3	161.7	118.3	22.69	230.4	0
4.025	17	0	0	171.5	116.2	140.6	115.5	140.6	115.5	161.7	118.3	21.3	221.1	0
4.025	17	6	0	0	0	140	115.4	140	115.4	161.7	118.3	21.89	225	0
4.025	17	3	0	0	0	139.4	115.3	139.4	115.3	161.7	118.3	22.51	229.1	0
4.025	17	1	0	0	0	140.3	115.4	140.3	115.4	161.7	118.3	21.59	223	0
4.025	17	5	0	0	0	139.5	115.4	139.5	115.4	161.7	118.3	22.38	228.3	0
4.025	17	7	0	0	0	140.4	115.4	140.4	115.4	161.7	118.3	21.48	222.2	0
4.275	18	2	0	0	0	142.8	116.4	142.8	116.4	161.6	123.2	20.04	246.3	0
4.275	18	4	0	0	0	142.3	116.2	142.3	116.2	161.6	123.2	20.62	251	0
4.275	18	0	0	168.9	125.2	143.5	116.6	143.5	116.6	161.6	123.2	19.31	240.4	0
4.275	18	6	0	0	0	143	116.4	143	116.4	161.6	123.2	19.87	244.9	0
4.275	18	3	0	0	0	142.4	116.2	142.4	116.2	161.6	123.2	20.44	249.6	0
4.275	18	1	0	0	0	143.2	116.5	143.2	116.5	161.6	123.2	19.58	242.6	0
4.275	18	5	0	0	0	142.5	116.3	142.5	116.3	161.6	123.2	20.33	248.6	0
4.275	18	7	0	0	0	143.3	116.5	143.3	116.5	161.6	123.2	19.48	241.7	0
4.525	19	2	0	0	0	144.1	116.9	144.1	116.9	164.2	121.5	20.67	266.9	0
4.525	19	4	0	0	0	143.8	116.8	143.8	116.8	164.2	121.5	20.95	272	0
4.525	19	0	0	155.3	121.5	144.4	117	144.4	117	164.2	121.5	20.32	260.7	0
4.525	19	6	0	0	0	144.2	116.9	144.2	116.9	164.2	121.5	20.59	265.5	0
4.525	19	3	0	0	0	143.9	116.8	143.9	116.8	164.2	121.5	20.87	270.4	0
4.525	19	1	0	0	0	144.3	117	144.3	117	164.2	121.5	20.45	263	0
4.525	19	5	0	0	0	144	116.8	144	116.8	164.2	121.5	20.81	269.5	0
4.525	19	7	0	0	0	144.4	117	144.4	117	164.2	121.5	20.4	262.1	0
4.775	20	2	0	0	0	145.1	118.3	145.1	118.3	165.8	122.8	21.22	288.2	0
4.775	20	4	0	0	0	144.9	118	144.9	118	165.8	122.8	21.46	293.4	0
4.775	20	0	0	154	130.9	145.4	118.6	145.4	118.6	165.8	122.8	20.92	281.6	0
4.775	20	6	0	0	0	145.2	118.4	145.2	118.4	165.8	122.8	21.15	286.6	0
4.775	20	3	0	0	0	145	118.1	145	118.1	165.8	122.8	21.39	291.8	0
4.775	20	1	0	0	0	145.3	118.5	145.3	118.5	165.8	122.8	21.03	284.1	0
4.775	20	5	0	0	0	145	118.2	145	118.2	165.8	122.8	21.34	290.8	0
4.775	20	7	0	0	0	145.3	118.5	145.3	118.5	165.8	122.8	20.99	283.1	0
5.025	21	2	0	0	0	147	117.4	147	117.4	163	123.6	17.22	305.4	0
5.025	21	4	0	0	0	146.6	117.5	146.6	117.5	163	123.6	17.48	310.9	0
5.025	21	0	0	163.5	108.7	147.4	117.2	147.4	117.2	163	123.6	16.9	298.5	0
5.025	21	6	0	0	0	147.1	117.3	147.1	117.3	163	123.6	17.15	303.8	0
5.025	21	3	0	0	0	146.7	117.5	146.7	117.5	163	123.6	17.4	309.2	0
5.025	21	1	0	0	0	147.2	117.3	147.2	117.3	163	123.6	17.02	301.1	0
5.025	21	5	0	0	0	146.8	117.4	146.8	117.4	163	123.6	17.35	308.2	0
5.025	21	7	0	0	0	147.3	117.2	147.3	117.2	163	123.6	16.97	300.1	0
5.275	22	2	0	0	0	148.7	119.7	148.7	119.7	169.5	125.4	21.55	326.9	0
5.275	22	4	0	0	0	148.4	119.3	148.4	119.3	169.5	125.4	21.97	332.9	0
5.275	22	0	0	164.2	141	149.1	120.2	149.1	120.2	169.5	125.4	21.04	319.6	0
5.275	22	6	0	0	0	148.8	119.8	148.8	119.8	169.5	125.4	21.43	325.2	0
5.275	22	3	0	0	0	148.5	119.4	148.5	119.4	169.5	125.4	21.84	331.1	0
5.275	22	1	0	0	0	149	120	149	120	169.5	125.4	21.23	322.3	0
5.275	22	5	0	0	0	148.5	119.5	148.5	119.5	169.5	125.4	21.76	329.9	0
5.275	22	7	0	0	0	149	120.1	149	120.1	169.5	125.4	21.15	321.2	0
5.525	23	2	0	0	0	151.1	119.5	151.1	119.5	169.6	124.3	19.11	346	0
5.525	23	4	0	0	0	150.7	119.5	150.7	119.5	169.6	124.3	19.54	352.4	0
5.525	23	0	0	172.6	117.4	151.7	119.5	151.7	119.5	169.6	124.3	18.58	338.2	0
5.525	23	6	0	0	0	151.2	119.5	151.2	119.5	169.6	124.3	18.99	344.2	0
5.525	23	3	0	0	0	150.8	119.5	150.8	119.5	169.6	124.3	19.41	350.5	0
5.525	23	1	0	0	0	151.5	119.5	151.5	119.5	169.6	124.3	18.78	341.1	0
5.525	23	5	0	0	0	150.9	119.5	150.9	119.5	169.6	124.3	19.32	349.2	0
5.525	23	7	0	0	0	151.5	119.5	151.5	119.5	169.6	124.3	18.7	339.9	0
5.775	24	2	0	0	0	152.8	118.9	152.8	118.9	175	124.4	22.94	369	0
5.775	24	4	0	0	0	152.4	119	152.4	119	175	124.4	23.22	375.6	0
5.775	24	0	0	167.2	113.3	153.2	118.8	153.2	118.8	175	124.4	22.59	360.7	0
5.775	24	6	0	0	0	152.9	118.9	152.9	118.9	175	124.4	22.85	367	0
5.775	24	3	0	0	0	152.5	119	152.5	119	175	124.4	23.13	373.6	0
5.775	24	1	0	0	0	153	118.8	153	118.8	175	124.4	22.72	363.8	0
5.775	24	5	0	0	0	152.6	119	152.6	119	175	124.4	23.08	372.3	0
5.775	24	7	0	0	0	153.1	118.8	153.1	118.8	175	124.4	22.67	362.6	0
6.025	25	2	0	0	0	155.5	121.5	155.5	121.5	172.3	129.8	18.75	387.7	0
6.025	25	4	0	0	0	155	121.1	155	121.1	172.3	129.8	19.38	395	0
6.025	25	0	0	179.6	145	156.1	122	156.1	122	172.3	129.8	17.96	378.7	0
6.025	25	6	0	0	0	155.6	121.6	155.6	121.6	172.3	129.8	18.56	385.6	0
6.025	25	3	0	0	0	155.1	121.2	155.1	121.2	172.3	129.8	19.19	392.8	0
6.025	25	1	0	0	0	155.8	121.8	155.8	121.8	172.3	129.8	18.25	382.1	0
6.025	25	5	0	0	0	155.2	121.3	155.2	121.3	172.3	129.8	19.06	391.4	0
6.025	25	7	0	0	0	155.9	121.9	155.9	121.9	172.3	129.8	18.14	380.7	0
6.275	26	2	0	0	0	158.3	121.8	158.3	121.8	175.1	135.3	21.48	409.2	0
6.275	26	4	0	0	0	157.8	121.7	157.8	121.7	175.1	135.3	21.94	417	0
6.275	26	0	0	183.7	124.3	159	121.9	159	121.9	175.1	135.3	20.89	399.6	0
6.275	26	6	0	0	0	158.5	121.8	158.5	121.8	175.1	135.3	21.34	406.9	0
6.275	26	3	0	0	0	158	121.7	158	121.7	175.1	135.3	21.8	414.6	0
6.275	26	1	0	0	0	158.7	121.9	158.7	121.9	175.1	135.3	21.11	403.2	0
6.275	26	5	0	0	0	158.1	121.8	158.1	121.8	175.1	135.3	21.71	413.1	0
6.275	26	7	0	0	0	158.8	121.9	158.8	121.9	175.1	135.3	21.03	401.8	0
6.525	27	2	0	0	0	160.9	123.2	160.9	123.2	178.1	140.2	24.21	433.4	0
6.525	27	4	0	0	0	160.4	123	160.4	123	178.1	140.2	24.73	441.7	0
6.525	27	0	0	183.4	136.1	161.5	123.6	161.5	123.6	178.1	140.2	23.57	423.2	0
6.525	27	6	0	0	0	161	123.3	161	123.3	178.1	140.2	24.06	431	0
6.525	27	3	0	0	0	160.5	123.1	160.5	123.1	178.1	140.2	24.57	439.2	0
6.525	27	1	0	0	0	161.2	123.4	161.2	123.4	178.1	140.2	23.81	427	0
6.525	27	5	0	0	0	160.6	123.1	160.6	123.1	178.1	140.2	24.47	437.6	0
6.525	27	7	0	0	0	161.3	123.5	161.3	123.5	178.1	140.2	23.71	425.5	0
6.775	28	2	0	0	0	164	123.6	164	123.6	183.6	146.6	30.18	463.6	0
6.775	28	4	0	0	0	163.4	123.5	163.4	123.5	183.6	146.6	30.62	472.3	0
6.775	28	0	0	192.1	127	164.7	123.7	164.7	123.7	183.6	146.6	29.63	452.8	0
6.775	28	6	0	0	0	164.2	123.7	164.2	123.7	183.6	146.6	30.05	461.1	0
6.775	28	3	0	0	0	163.6	123.6	163.6	123.6	183.6	146.6	30.49	469.7	0
6.775	28	1	0	0	0	164.5	123.7	164.5	123.7	183.6	146.6	29.84	456.8	0
6.775	28	5	0	0	0	163.7	123.6	163.7	123.6	183.6	146.6	30.4	468	0
6.775	28	7	0	0	0	164.6	123.7	164.6	123.7	183.6	146.6	29.76	455.2	0
7.025	29	2	0	0	0	164.7	125.1	164.7	125.1	183.7	145.8	28.1	491.7	0
7.025	29	4	0	0	0	164.5	124.9	164.5	124.9	183.7	145.8	28.4	500.7	0
7.025	29	0	0	170.2	138.4	164.9	125.4	164.9	125.4	183.7	145.8	27.73	480.5	0
7.025	29	6	0	0	0	164.7	125.2	164.7	125.2	183.7	145.8	28.02	489.1	0
7.025	29	3	0	0	0	164.6	124.9	164.6	124.9	183.7	145.8	28.31	498	0
7.025	29	1	0	0	0	164.8	125.3	164.8	125.3	183.7	145.8	27.87	484.7	0
7.025	29	5	0	0	0	164.6	125	164.6	125	183.7	145.8	28.25	496.2	0
7.025	29	7	0	0	0	164.9	125.4	164.9	125.4	183.7	145.8	27.81	483	0
7.275	30	2	0	0	0	170.6	128.8	170.6	128.8	190.2	150.4	29.19	520.9	0
7.275	30	4	0	0	0	169.4	128	169.4	128	190.2	150.4	30.62	531.3	0
7.275	30	0	0	192.4	136.7	171.1	129	171.1	129	190.2	150.4	28.72	509.2	0
7.275	30	6	0	0	0	169.9	128.2	169.9	128.2	190.2	150.4	30.11	519.2	0
7.275	30	3	0	0	0	169.9	128.4	169.9	128.4	190.2	150.4	29.97	528	0
7.275	30	1	0	201.9	153.8	171	129	171	129	190.2	150.4	28.74	513.4	0
7.275	30	5	0	0	0	169.4	128	169.4	128	190.2	150.4	30.59	526.8	0
7.275	30	7	0	0	0	170.6	128.6	170.6	128.6	190.2	150.4	29.33	512.4	0
7.525	31	2	0	0	0	176.4	133.8	176.4	133.8	194.6	156.4	29.05	549.9	0
7.525	31	4	0	0	0	175.1	132.7	175.1	132.7	194.6	156.4	30.74	562.1	0
